Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2589282,4-May-23,North Carolina,Wilmington,555 Halyburton Memorial Pkwy,0,0,0,0,1,N/A
2588807,4-May-23,Nevada,Las Vegas,1900 S Lisa Ln,0,0,0,0,0,N/A
2589251,4-May-23,Wisconsin,Kenosha,3700 Washington Rd,0,0,0,0,1,N/A
2588497,4-May-23,Maryland,Hyattsville (Landover),900 Nalley Rd,0,0,0,0,1,N/A
2588363,4-May-23,Texas,Sugar Land,14777 Voss Rd,0,0,0,0,1,N/A
2588059,3-May-23,Minnesota,Mankato,1351 S Riverfront Dr,0,0,0,0,1,N/A
2588647,3-May-23,Michigan,Muskegon,125 Catherine Ave,0,0,0,0,1,N/A
2587905,3-May-23,Kansas,Lawrence,4700 Overland Dr,0,0,0,0,1,N/A
2587625,3-May-23,North Carolina,Winston Salem (Winston-salem),2100 Silas Creek Pkwy,0,0,0,0,0,N/A
2587545,3-May-23,Michigan,Grand Rapids,1205 Cesar E Chavez Ave SW,0,0,0,0,0,N/A
2588938,3-May-23,Florida,Gainesville,11525 NW 39th Ave,0,0,0,0,0,N/A
2586871,2-May-23,Virginia,Waynesboro,840 King Ave,0,0,0,0,0,N/A
2588804,2-May-23,Virginia,Woodbridge,1650 Prince William Pkwy,0,0,0,0,1,N/A
2587574,2-May-23,Minnesota,Saint Paul,235 Marshall Ave,0,0,1,0,0,N/A
2588357,2-May-23,South Carolina,Charleston,21 McClennan Banks Dr,0,0,0,0,1,N/A
2594378,2-May-23,Indiana,Gary,131 E 5th Ave,0,0,0,0,1,N/A
2587217,2-May-23,Ohio,Cleveland (Pepper Pike),32000 Chagrin Blvd,0,0,0,0,1,N/A
2588102,2-May-23,Kentucky,Louisville (Shively),2501 Rockford Ln,0,0,0,0,1,N/A
2588224,1-May-23,Maryland,Oxon Hill,Iverson St and Sutler Dr,0,0,0,0,3,N/A
2588513,1-May-23,Indiana,Fort Wayne,4509 Homestead Rd,0,0,0,0,0,N/A
2586673,1-May-23,Pennsylvania,Mc Kees Rocks (Mckees Rocks),1105 Valley St,0,0,0,0,0,N/A
2586600,1-May-23,California,Los Angeles,4650 W Olympic Blvd,0,0,0,0,1,N/A
2585980,1-May-23,Michigan,Flint,2820 Saginaw St,1,0,0,0,1,N/A
2585445,30-Apr-23,California,Palmdale,37423 70th St. East,0,0,0,0,0,N/A
2589008,29-Apr-23,Virginia,Springfield,7200 Fullerton Rd,0,0,0,0,1,N/A
2584191,29-Apr-23,Florida,Tallahassee,808 W Tennessee St,1,0,0,0,1,N/A
2584547,28-Apr-23,Colorado,Colorado Springs,2115 Afton Way,0,0,0,0,1,N/A
2583557,28-Apr-23,Tennessee,Knoxville,3300 Sutherland Ave,1,0,0,0,1,N/A
2583495,28-Apr-23,South Carolina,Swansea,450 Old Swamp Rd,0,0,0,0,0,N/A
2587436,28-Apr-23,Texas,Houston,8501 Howard Dr,0,0,0,0,2,N/A
2584202,28-Apr-23,Texas,Houston,6602 Winfield Rd,0,0,0,0,1,N/A
2583940,28-Apr-23,Kentucky,Louisville,4615 Taylor Blvd,0,0,0,0,1,N/A
2582779,27-Apr-23,Virginia,Richmond,4314 Crutchfield St,2,0,0,0,1,N/A
2585794,27-Apr-23,Wisconsin,Milwaukee,3300 S 39th St,0,0,0,0,1,N/A
2610971,27-Apr-23,New York,Lake Katrine,65 Fording Place Rd,0,0,0,0,1,N/A
2583241,27-Apr-23,North Carolina,Reidsville,1903 S Park Dr,0,0,0,0,0,N/A
2582770,27-Apr-23,Connecticut,Waterbury,300 Pierpont Rd,0,0,0,0,1,N/A
2583850,26-Apr-23,Missouri,Blue Springs,1200 SE Adams Dairy Pkwy,0,0,0,0,1,N/A
2582305,26-Apr-23,Kentucky,Louisville,4901 Exeter Ave,0,0,0,0,1,N/A
2584297,26-Apr-23,Pennsylvania,Scranton,3427 N Main Ave,0,0,0,0,1,N/A
2584232,26-Apr-23,Pennsylvania,Reading,801 N 13th St,0,0,0,0,1,N/A
2593278,26-Apr-23,California,Martinez,4955 Alhambra Valley Rd,0,0,0,0,1,N/A
2582814,26-Apr-23,Florida,Panama City,924 Bay Ave,0,0,0,0,1,N/A
2582694,26-Apr-23,Arkansas,Maumelle,100 Victory Ln,0,0,0,0,1,N/A
2587592,26-Apr-23,Nevada,Las Vegas,1139 N Linn Ln,0,0,0,0,1,N/A
2583230,26-Apr-23,New Mexico,Santa Fe,13 San Marcos Loop,0,0,0,0,0,N/A
2582409,26-Apr-23,Wisconsin,Madison,201 S Gammon Rd,0,0,0,0,1,N/A
2582294,25-Apr-23,New York,Buffalo,756 St Lawrence Ave,0,0,0,0,1,N/A
2581021,25-Apr-23,Tennessee,Nashville,1200 2nd Ave S,0,0,0,0,1,N/A
2587844,25-Apr-23,Virginia,Marion,134 Wilden St,0,0,0,0,1,N/A
2581302,25-Apr-23,Florida,Fort Lauderdale (Lauderdale Lakes),3925 FL-7,0,0,0,0,1,N/A
2582141,25-Apr-23,Illinois,Belleville,1801 Central School Rd,0,0,0,0,1,N/A
2580940,25-Apr-23,Colorado,Boulder,3300 Baseline Rd,0,0,0,0,0,N/A
